Campaign,Campaign type,Campaign subtype,Status,Networks,Languages,Bid strategy type,Budget,EU political ads,Ad group,Ad group type,Max CPC,Keyword,Match type,Ad type,Final URL,Asset action,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Business name,Phone number,Country code,Verification URL,Sitelink text,Sitelink final URL,Callout text,Structured snippet header,Structured snippet values,Call phone number,Call country code,Call display location,Countdown text,Countdown date,Countdown time,Countdown language,Negative keyword,Negative keyword match type,YouTube channels,YouTube video
קמפיין מותג,,,Paused,,,,,,מותג-לומרה,,5,LUMERA,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין מותג,,,Paused,,,,,,מותג-לומרה,,5,לומרה פילאטיס,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין מותג,,,Paused,,,,,,מותג-לומרה,,5,סטודיו לומרה,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין מותג,,,Paused,,,,,,מותג-לומרה,,5,לומרה נתניה,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-צורך-בריאות,,,,,Responsive search ad,https://avitheuser1-ship-it.github.io/pilates-landing/product1.html,ADD,פילאטיס מכשירים ברמה אחרת,רפורמר מקצועי בשרון,חיזוק ליבה ושיפור יציבה,סטודיו שקט ומפנק בנתניה,אימון מותאם אישית,מכשירי רפורמר מהשורה הראשונה,שיקום אחרי פציעה,גם למתחילות ומתקדמות,ללא התחייבות,מדריכים צמודים,,,,,,בסטודיו לומרה תמצאי חווית פילאטיס מדויקת על מכשירי רפורמר.,קבעי שיעור ראשון ללא התחייבות — אווירה שקטה בלב השרון.,מחירים כבר מ-120 ₪ לשיעור.,,פילאטיס,שרון,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,חיפוש-גישה-שרון,,,,,Responsive search ad,https://avitheuser1-ship-it.github.io/pilates-landing/,ADD,פילאטיס בנתניה והשרון,סטודיו יוקרתי קרוב אליך,3 מסלולי אימון מותאמים,קבוצות אינטימיות עד 8,אימון פרטי 1 על 1,פילאטיס מכשירים ורצפה,חוויה שקטה ומפנקת,מדריכים צמודים,ללא התחייבות,התחלה עכשיו,,,,,,לומרה — סטודיו פילאטיס יוקרתי באזור השרון.,גלי את המסלול שמתאים לך והתחלי עכשיו ללא התחייבות.,קבעי פגישת היכרות חינם.,,פילאטיס,שרון,,,,,,,,,,,,,,,,,,,,
קמפיין מותג,,,Paused,,,,,,מותג-לומרה,,,,,Responsive search ad,https://avitheuser1-ship-it.github.io/pilates-landing/,ADD,פילאטיס עם {KeyWord:לומרה},הסטודיו של {KeyWord:לומרה},{KeyWord:לומרה} — תנועה מדויקת,סטודיו יוקרתי בנתניה,פילאטיס מכשירים וקבוצות,התחלה ללא התחייבות,רפורמר מקצועי,קבוצות אינטימיות,,,,,,,,{KeyWord:לומרה} — סטודיו פילאטיס יוקרתי באזור השרון.,הזמיני שיעור היכרות חינם והצטרפי לחוויה.,"מכשירי רפורמר, חוגים ואימונים אישיים.",,לומרה,פילאטיס,,,,,,,,,,,,,,,,,,,,
קמפיין GDN,,,Paused,,,,,,GDN-לא-המירו,,,,,Responsive display ad,https://avitheuser1-ship-it.github.io/pilates-landing/product1.html,ADD,ראית פעם את לומרה?,חזרי לסטודיו,פילאטיס מכשירים בשרון,,,,,,,,,,,,,לא הספקת להירשם? חזרי ללומרה וקבעי שיעור ראשון.,"אווירה שקטה, רפורמר מקצועי, ללא התחייבות.",,,,,,,,,,,,,,,,,,,,,,,,
קמפיין GDN,,,Paused,,,,,,GDN-אפסייל,,,,,Responsive display ad,https://avitheuser1-ship-it.github.io/pilates-landing/product3.html,ADD,המשיכי את הדרך עם לומרה,שיעור פרטי בהנחה,קחי את זה צעד קדימה,,,,,,,,,,,,,אהבת את השיעור הראשון? קבלי אימון פרטי בהנחה בלעדית.,מחכות לך חוויות פילאטיס מתקדמות בלומרה.,,,,,,,,,,,,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,אווירה שקטה ומפנקת,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,מכשירי רפורמר מקצועיים,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,קבוצות אינטימיות,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,ללא התחייבות,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,מדריכים צמודים,,,,,,,,,,,,,
קמפיין מותג,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,אווירה שקטה ומפנקת,,,,,,,,,,,,,
קמפיין מותג,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,מכשירי רפורמר מקצועיים,,,,,,,,,,,,,
קמפיין מותג,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,קבוצות אינטימיות,,,,,,,,,,,,,
קמפיין מותג,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,ללא התחייבות,,,,,,,,,,,,,
קמפיין מותג,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,מדריכים צמודים,,,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,סוגים,רפורמר; חוג קבוצתי; אימון פרטי,,,,,,,,,,,
קמפיין חיפוש,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,המבצע מסתיים בעוד,20260730,,Hebrew,,,,
קמפיין מותג,,,Paused,,,,,,,,,,,,,ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,המבצע מסתיים בעוד,20260730,,Hebrew,,,,
קמפיין חיפוש,,,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חינם,Exact,,
קמפיין חיפוש,,,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עבודה,Exact,,
קמפיין חיפוש,,,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,לימודים,Exact,,
קמפיין חיפוש,,,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קורס מדריכים,Exact,,
קמפיין חיפוש,,,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,סרטונים,Exact,,
